count	mean	std	min	25%	50%	75%	max	tot_len	total	removed	removed_pct	chrom_rm	small_rm	big_rm	coord_rm	span_total	span_rm	span_kept	source
965511.0	330.0	6599.0	25.0	35.0	47.0	87.0	500000.0	319296434.0	652237.0	100.0	0.015331850232354189	0.0	0.0	100.0	0.0	138453831.0	64064615.0	74389216.0	baylor
1852129.0	159.0	4818.0	1.0	22.0	43.0	77.0	2282171.0	294579269.0	1400092.0	130507.0	9.321316027803887	0.0	130321.0	186.0	0.0	165371166.0	36031954.0	129339212.0	giab
171146.0	26.0	12.0	4.0	18.0	24.0	34.0	532.0	4538741.0	171145.0	7790.0	4.551695930351456	0.0	7790.0	0.0	0.0	4538738.0	56923.0	4481815.0	pacbio
1776010.0	20.0	11.0	2.0	12.0	16.0	24.0	399.0	35852305.0	1739897.0	1646.0	0.09460330122990039	0.0	1646.0	0.0	0.0	35311586.0	10765.0	35300821.0	ucsd1
10264.0	59.0	27.0	20.0	38.0	52.0	73.0	284.0	613138.0	10259.0	0.0	0.0	0.0	0.0	0.0	0.0	612921.0	0.0	612921.0	ucsd2
467104.0	101.0	193.0	25.0	34.0	45.0	77.0	9813.0	47531687.0	467104.0	0.0	0.0	0.0	0.0	0.0	0.0	47531687.0	0.0	47531687.0	usc
318457.0	593.0	17660.0	50.0	100.0	228.0	597.0	4129043.0	189139196.0	318457.0	1513.0	0.4751033891545797	1409.0	0.0	104.0	0.0	189139196.0	55998405.0	133140791.0	pbsv
171202.0	26.0	12.0	4.0	18.0	24.0	34.0	532.0	4541584.0	171190.0	7790.0	4.550499445061043	0.0	7790.0	0.0	0.0	4541035.0	56923.0	4484112.0	trgt
6092.0	61.0	125.0	0.0	25.0	36.0	64.0	3136.0	375565.0	5789.0	24.0	0.41457937467610984	0.0	21.0	0.0	3.0	355243.0	184.0	355059.0	abundant_pCGG
4786800.0	89.0	454.0	10.0	19.0	32.0	55.0	49946.0	429635634.0	2316441.0	15.0	0.0006475450918024677	0.0	0.0	15.0	0.0	223890562.0	903063.0	222987499.0	grand
2316426.0	146.0	531.0	60.0	65.0	76.0	103.0	50001.0	338808799.0	2171885.0	96.0	0.004420123533244164	0.0	0.0	96.0	0.0	334322088.0	25982281.0	308339807.0	grand slop
2171789.0	141.0	457.0	60.0	66.0	79.0	106.0	49984.0	308339807.0											pre-gap
2171789.0	141.0	457.0	60.0	66.0	79.0	106.0	49984.0	308339807.0											final
