chrY	25884581	25884724	DYF387S1	7
chrY	9684380	9684443	DYS19	36
chrY	18680632	18680687	DYS385a	1
chrY	18639713	18639756	DYS385b	1
chrY	12500448	12500495	DYS389I	17
chrY	12500448	12500611	DYS389II	47
chrY	15163067	15163162	DYS390	6
chrY	11982089	11982132	DYS391	2
chrY	20471987	20472025	DYS392	2
chrY	3263111	3263158	DYS393	2
chrY	12346267	12346326	DYS437	6
chrY	12825889	12825948	DYS438	4
chrY	12403517	12403564	DYS439	69
chrY	22218923	22219078	DYS448	13
chrY	4402919	4402978	DYS456	1
chrY	7999839	7999902	DYS458	9
chrY	18888956	18888995	DYS460	0
chrY	18888804	18888851	DYS461	5
chrY	8558337	8558402	DYS481	2
chrY	3772790	3772837	DYS505	27
chrY	7547585	7547624	DYS522	0
chrY	16281349	16281396	DYS533	1
chrY	19358338	19358389	DYS549	3
chrY	6993190	6993257	DYS570	6
chrY	7185318	7185385	DYS576	5
chrY	13640728	13640835	DYS612	9
chrY	12258860	12258951	DYS635	8
chrY	15314132	15314186	DYS643	2
chrY	16631673	16631720	YGATAH4	2
